t,body,x,y
1.08006e+06,Sun,10474.5,752.343
1.08006e+06,Earth,1.46163e+11,3.19387e+10
1.08006e+06,Moon,1.45804e+11,3.20138e+10
1.08606e+06,Sun,10590.7,764.931
1.08606e+06,Earth,1.46125e+11,3.21135e+10
1.08606e+06,Moon,1.45765e+11,3.21822e+10
1.09206e+06,Sun,10707.6,777.659
1.09206e+06,Earth,1.46086e+11,3.22882e+10
1.09206e+06,Moon,1.45725e+11,3.23506e+10
1.09806e+06,Sun,10825.1,790.526
1.09806e+06,Earth,1.46048e+11,3.24628e+10
1.09806e+06,Moon,1.45686e+11,3.25189e+10
1.10406e+06,Sun,10943.3,803.535
1.10406e+06,Earth,1.46009e+11,3.26374e+10
1.10406e+06,Moon,1.45646e+11,3.26872e+10
1.11006e+06,Sun,11062,816.685
1.11006e+06,Earth,1.4597e+11,3.2812e+10
1.11006e+06,Moon,1.45606e+11,3.28554e+10
1.11606e+06,Sun,11181.5,829.977
1.11606e+06,Earth,1.4593e+11,3.29865e+10
1.11606e+06,Moon,1.45566e+11,3.30235e+10
1.12206e+06,Sun,11301.5,843.413
1.12206e+06,Earth,1.45891e+11,3.3161e+10
1.12206e+06,Moon,1.45526e+11,3.31916e+10
1.12806e+06,Sun,11422.2,856.992
1.12806e+06,Earth,1.45851e+11,3.33354e+10
1.12806e+06,Moon,1.45486e+11,3.33596e+10
1.13406e+06,Sun,11543.5,870.716
1.13406e+06,Earth,1.45811e+11,3.35097e+10
1.13406e+06,Moon,1.45446e+11,3.35276e+10
1.14006e+06,Sun,11665.4,884.585
1.14006e+06,Earth,1.45771e+11,3.36841e+10
1.14006e+06,Moon,1.45406e+11,3.36955e+10
1.14606e+06,Sun,11788,898.601
1.14606e+06,Earth,1.45731e+11,3.38583e+10
1.14606e+06,Moon,1.45365e+11,3.38634e+10
1.15206e+06,Sun,11911.2,912.763
1.15206e+06,Earth,1.4569e+11,3.40326e+10
1.15206e+06,Moon,1.45325e+11,3.40312e+10
1.15806e+06,Sun,12035.1,927.073
1.15806e+06,Earth,1.4565e+11,3.42067e+10
1.15806e+06,Moon,1.45284e+11,3.41989e+10
1.16406e+06,Sun,12159.5,941.531
1.16406e+06,Earth,1.45609e+11,3.43809e+10
1.16406e+06,Moon,1.45243e+11,3.43666e+10
1.17006e+06,Sun,12284.6,956.138
1.17006e+06,Earth,1.45567e+11,3.4555e+10
1.17006e+06,Moon,1.45203e+11,3.45343e+10
1.17606e+06,Sun,12410.4,970.896
1.17606e+06,Earth,1.45526e+11,3.4729e+10
1.17606e+06,Moon,1.45162e+11,3.47019e+10
1.18206e+06,Sun,12536.7,985.804
1.18206e+06,Earth,1.45484e+11,3.4903e+10
1.18206e+06,Moon,1.45121e+11,3.48695e+10
1.18806e+06,Sun,12663.7,1000.86
1.18806e+06,Earth,1.45443e+11,3.50769e+10
1.18806e+06,Moon,1.4508e+11,3.50371e+10
1.19406e+06,Sun,12791.3,1016.07
1.19406e+06,Earth,1.45401e+11,3.52508e+10
1.19406e+06,Moon,1.45038e+11,3.52046e+10
